	Dataset	Detection threshold	Handle	LM_Group_COLOR	Platform_Category	Platform_Colour	Platform_Symbol	chip_id	dataset_name	description	display_metadata	final_cell_type	generic_sample_type	labelling	name	number of samples	organism	parental_cell_type	platform	project	replicate_group_id	sample types	sample_type	Feeder	Day	sex	species	K Means	Year
6065_01_K1-31_No_439-2	6065	4.5		conventional	HG-U133_Plus_2	"rgb(255,109,182)"	circle-open	01_K1-31_No_439-2	Hasegawa	"Human embryonic stem cells (hESCs) exhibit pluripotency and indefinite proliferation and are a potential source of cells for transplantation therapies and drug discovery. These applications will require large amounts of hESCs. However, hESCs are difficult to culture and maintain at larger scales, in part because of their low resistance to dissociation during passaging. To circumvent this, we developed a simple and easy method for establishing hESC sublines tolerant of complete dissociation. These cells exhibit high replating efficiency and also high cloning efficiency, and they maintain their ability to differentiate into the three germ layers. Several sublines have no detectable abnormalities in their karyotypes, and they retained their characteristics under feeder-free culture conditions and after freeze-thawing. Thus, these hESC sublines would be valuable for hESC applications."	embryonic stem cell		embryonic stem cell		Hasegawa	9	Homo sapiens		Microarray (Affymetrix HG-U133_Plus_2)		HESC-01_K1-31_No_439-2	"KhES, KhES1, KhES2"	KhES				Homo sapiens	0	
6065_01_K1-32_HG_No_473	6065	4.5		conventional	HG-U133_Plus_2	"rgb(255,109,182)"	circle-open	01_K1-32_HG_No_473	Hasegawa	"Human embryonic stem cells (hESCs) exhibit pluripotency and indefinite proliferation and are a potential source of cells for transplantation therapies and drug discovery. These applications will require large amounts of hESCs. However, hESCs are difficult to culture and maintain at larger scales, in part because of their low resistance to dissociation during passaging. To circumvent this, we developed a simple and easy method for establishing hESC sublines tolerant of complete dissociation. These cells exhibit high replating efficiency and also high cloning efficiency, and they maintain their ability to differentiate into the three germ layers. Several sublines have no detectable abnormalities in their karyotypes, and they retained their characteristics under feeder-free culture conditions and after freeze-thawing. Thus, these hESC sublines would be valuable for hESC applications."	embryonic stem cell		embryonic stem cell		Hasegawa	9	Homo sapiens		Microarray (Affymetrix HG-U133_Plus_2)		HESC-01_K1-32_HG_No_473	"KhES, KhES1, KhES2"	KhES				Homo sapiens	0	
6065_02_K1C1-19_No_439-2	6065	4.5		conventional	HG-U133_Plus_2	"rgb(255,109,182)"	circle-open	02_K1C1-19_No_439-2	Hasegawa	"Human embryonic stem cells (hESCs) exhibit pluripotency and indefinite proliferation and are a potential source of cells for transplantation therapies and drug discovery. These applications will require large amounts of hESCs. However, hESCs are difficult to culture and maintain at larger scales, in part because of their low resistance to dissociation during passaging. To circumvent this, we developed a simple and easy method for establishing hESC sublines tolerant of complete dissociation. These cells exhibit high replating efficiency and also high cloning efficiency, and they maintain their ability to differentiate into the three germ layers. Several sublines have no detectable abnormalities in their karyotypes, and they retained their characteristics under feeder-free culture conditions and after freeze-thawing. Thus, these hESC sublines would be valuable for hESC applications."	embryonic stem cell		embryonic stem cell		Hasegawa	9	Homo sapiens		Microarray (Affymetrix HG-U133_Plus_2)		HESC-02_K1C1-19_No_439-2	"KhES, KhES1, KhES2"	KhES1				Homo sapiens	0	
6065_02_K1C1-22_HG_No_473	6065	4.5		conventional	HG-U133_Plus_2	"rgb(255,109,182)"	circle-open	02_K1C1-22_HG_No_473	Hasegawa	"Human embryonic stem cells (hESCs) exhibit pluripotency and indefinite proliferation and are a potential source of cells for transplantation therapies and drug discovery. These applications will require large amounts of hESCs. However, hESCs are difficult to culture and maintain at larger scales, in part because of their low resistance to dissociation during passaging. To circumvent this, we developed a simple and easy method for establishing hESC sublines tolerant of complete dissociation. These cells exhibit high replating efficiency and also high cloning efficiency, and they maintain their ability to differentiate into the three germ layers. Several sublines have no detectable abnormalities in their karyotypes, and they retained their characteristics under feeder-free culture conditions and after freeze-thawing. Thus, these hESC sublines would be valuable for hESC applications."	embryonic stem cell		embryonic stem cell		Hasegawa	9	Homo sapiens		Microarray (Affymetrix HG-U133_Plus_2)		HESC-02_K1C1-22_HG_No_473	"KhES, KhES1, KhES2"	KhES1				Homo sapiens	0	
6065_03_K1C1-18-2_HG_No_473	6065	4.5		conventional	HG-U133_Plus_2	"rgb(255,109,182)"	circle-open	03_K1C1-18-2_HG_No_473	Hasegawa	"Human embryonic stem cells (hESCs) exhibit pluripotency and indefinite proliferation and are a potential source of cells for transplantation therapies and drug discovery. These applications will require large amounts of hESCs. However, hESCs are difficult to culture and maintain at larger scales, in part because of their low resistance to dissociation during passaging. To circumvent this, we developed a simple and easy method for establishing hESC sublines tolerant of complete dissociation. These cells exhibit high replating efficiency and also high cloning efficiency, and they maintain their ability to differentiate into the three germ layers. Several sublines have no detectable abnormalities in their karyotypes, and they retained their characteristics under feeder-free culture conditions and after freeze-thawing. Thus, these hESC sublines would be valuable for hESC applications."	embryonic stem cell		embryonic stem cell		Hasegawa	9	Homo sapiens		Microarray (Affymetrix HG-U133_Plus_2)		HESC-03_K1C1-18-2_HG_No_473 rep-2	"KhES, KhES1, KhES2"	KhES2				Homo sapiens	0	
6065_03_K1C2-18_No_439-2	6065	4.5		conventional	HG-U133_Plus_2	"rgb(255,109,182)"	circle-open	03_K1C2-18_No_439-2	Hasegawa	"Human embryonic stem cells (hESCs) exhibit pluripotency and indefinite proliferation and are a potential source of cells for transplantation therapies and drug discovery. These applications will require large amounts of hESCs. However, hESCs are difficult to culture and maintain at larger scales, in part because of their low resistance to dissociation during passaging. To circumvent this, we developed a simple and easy method for establishing hESC sublines tolerant of complete dissociation. These cells exhibit high replating efficiency and also high cloning efficiency, and they maintain their ability to differentiate into the three germ layers. Several sublines have no detectable abnormalities in their karyotypes, and they retained their characteristics under feeder-free culture conditions and after freeze-thawing. Thus, these hESC sublines would be valuable for hESC applications."	embryonic stem cell		embryonic stem cell		Hasegawa	9	Homo sapiens		Microarray (Affymetrix HG-U133_Plus_2)		HESC-03_K1C2-18_No_439-2	"KhES, KhES1, KhES2"	KhES2				Homo sapiens	0	
6065_04_K1-31-2_No_439-2	6065	4.5		conventional	HG-U133_Plus_2	"rgb(255,109,182)"	circle-open	04_K1-31-2_No_439-2	Hasegawa	"Human embryonic stem cells (hESCs) exhibit pluripotency and indefinite proliferation and are a potential source of cells for transplantation therapies and drug discovery. These applications will require large amounts of hESCs. However, hESCs are difficult to culture and maintain at larger scales, in part because of their low resistance to dissociation during passaging. To circumvent this, we developed a simple and easy method for establishing hESC sublines tolerant of complete dissociation. These cells exhibit high replating efficiency and also high cloning efficiency, and they maintain their ability to differentiate into the three germ layers. Several sublines have no detectable abnormalities in their karyotypes, and they retained their characteristics under feeder-free culture conditions and after freeze-thawing. Thus, these hESC sublines would be valuable for hESC applications."	embryonic stem cell		embryonic stem cell		Hasegawa	9	Homo sapiens		Microarray (Affymetrix HG-U133_Plus_2)		HESC-04_K1-31-2_No_439-2 rep-2	"KhES, KhES1, KhES2"	KhES				Homo sapiens	0	
6065_05_K1C1-20_No_439-2	6065	4.5		conventional	HG-U133_Plus_2	"rgb(255,109,182)"	circle-open	05_K1C1-20_No_439-2	Hasegawa	"Human embryonic stem cells (hESCs) exhibit pluripotency and indefinite proliferation and are a potential source of cells for transplantation therapies and drug discovery. These applications will require large amounts of hESCs. However, hESCs are difficult to culture and maintain at larger scales, in part because of their low resistance to dissociation during passaging. To circumvent this, we developed a simple and easy method for establishing hESC sublines tolerant of complete dissociation. These cells exhibit high replating efficiency and also high cloning efficiency, and they maintain their ability to differentiate into the three germ layers. Several sublines have no detectable abnormalities in their karyotypes, and they retained their characteristics under feeder-free culture conditions and after freeze-thawing. Thus, these hESC sublines would be valuable for hESC applications."	embryonic stem cell		embryonic stem cell		Hasegawa	9	Homo sapiens		Microarray (Affymetrix HG-U133_Plus_2)		HESC-05_K1C1-20_No_439-2	"KhES, KhES1, KhES2"	KhES1				Homo sapiens	0	
6065_06_K1C2-19_No_439-2	6065	4.5		conventional	HG-U133_Plus_2	"rgb(255,109,182)"	circle-open	06_K1C2-19_No_439-2	Hasegawa	"Human embryonic stem cells (hESCs) exhibit pluripotency and indefinite proliferation and are a potential source of cells for transplantation therapies and drug discovery. These applications will require large amounts of hESCs. However, hESCs are difficult to culture and maintain at larger scales, in part because of their low resistance to dissociation during passaging. To circumvent this, we developed a simple and easy method for establishing hESC sublines tolerant of complete dissociation. These cells exhibit high replating efficiency and also high cloning efficiency, and they maintain their ability to differentiate into the three germ layers. Several sublines have no detectable abnormalities in their karyotypes, and they retained their characteristics under feeder-free culture conditions and after freeze-thawing. Thus, these hESC sublines would be valuable for hESC applications."	embryonic stem cell		embryonic stem cell		Hasegawa	9	Homo sapiens		Microarray (Affymetrix HG-U133_Plus_2)		HESC-06_K1C2-19_No_439-2	"KhES, KhES1, KhES2"	KhES2				Homo sapiens	0	
5005_1705168044_B	5005	5.8	Hough_2009_19890402	conventional	Illumina V2	"rgb(0,0,0)"	circle	1705168044_B	Hough	"BACKGROUND: Commitment in embryonic stem cells is often depicted as a binary choice between alternate cell states, pluripotency and specification to a particular germ layer or extraembryonic lineage. However, close examination of human ES cell cultures has revealed significant heterogeneity in the stem cell compartment. METHODOLOGY/PRINCIPAL FINDINGS: We isolated subpopulations of embryonic stem cells using surface markers, then examined their expression of pluripotency genes and lineage specific transcription factors at the single cell level, and tested their ability to regenerate colonies of stem cells. Transcript analysis of single embryonic stem cells showed that there is a gradient and a hierarchy of expression of pluripotency genes in the population. Even cells at the top of the hierarchy generally express only a subset of the stem cell genes studied. Many cells co-express pluripotency and lineage specific genes. Cells along the continuum show a progressively decreasing likelihood of self renewal as their expression of stem cell surface markers and pluripotency genes wanes. Most cells that are positive for stem cell surface markers express Oct-4, but only those towards the top of the hierarchy express the nodal receptor TDGF-1 and the growth factor GDF3. SIGNIFICANCE: These findings on gene expression in single embryonic stem cells are in concert with recent studies of early mammalian development, which reveal molecular heterogeneity and a stochasticity of gene expression in blastomeres. Our work indicates that only a small fraction of the population resides at the top of the hierarchy, that lineage priming (co-expression of stem cell and lineage specific genes) characterizes pluripotent stem cell populations, and that extrinsic signaling pathways are upstream of transcription factor networks that control pluripotency. [Abstract from original publiction; PLoS One. 2009 Nov 5;4(11):e7708.]"	embryonic stem cell		embryonic stem cell	Cy3	Hough	12	Homo sapiens	embryonic stem cell	Microarray (Illumina HumanWG-6 V2)		p5_rep1	"ESC GCTM2 (neg) CD9 (neg), ESC GCTM2 (low) CD9 (low), ESC GCTM2 (mid) CD9 (mid), ESC GCTM2 (high) CD9 (high)"	ESC GCTM2 (low) CD9 (low)				Homo sapiens	0	2009
